,text,label
0,weekend wins for womens soccer,0
1,town seeks public input on green spaces ahead of overhauls,0
2,untitled romantic comedy,0
3,he was too good remembering former college employee suad teocanin,0
4,re coronavirus in n y manhattan woman is first confirmed case in state,0
5,womens squash captures third place in nescac,0
6,a throwback for riddim,0
7,students challenge admin action inaction at community conversation,0
8,since education matters im guessing middlebury will divest,0
9,the lookbook goodbye midd,0
10,what sanders misses when he berns the media,0
11,musicality and dissonance in gareth corderys jr recital,0
12,the wolves focuses on sisterhood,0
13,the librarian is in 27,0
14,building bridges in middlebury,0
15,book review the raj quartet,0
16,notes from the sga president,0
17,q a with senator ruth hardy d addison district on covid 19,0
18,notes from the desk on critique,0
19,photo of the week ski patrol and instructors welcome class of 2022 5,0
20,notes from the sga president 2,0
21,res life negotiations reach sga,0
22,counting the costs of applying ed in the nescac,0
23,reel critic a quiet place,0
24,professor examines generation of consciousness,0
25,addison countys search for solutions to population decline,0
26,largest class in years convenes in mead chapel,0
27,champions again,0
28,colby morris 19 dreams to play for the mlb,0
29,if middlebury had a metro system,0
30,debussy antidote to a cold vermont valentines,0
31,middlebury senior will nash dies on saturday,0
32,all articles are approved in annual middlebury town meeting,0
33,students face reduced on campus employment opportunities and new job responsibilities,0
34,mens squash looks to serve wins this season,0
35,it services vp jim stuart dies,0
36,proposed commons changes are a good start,0
37,reel critic avengers infinity war,0
38,political dissidence to be explored in havel,0
39,remembering william garrett nash 20,0
40,chloe levins 20 qualifies for ncaa golf championship,0
41,commons system replaced with house of lords,1
42,town businesses lay off staff offer curbside service following state wide stay home order,0
43,for the record drive it like its stolen,0
44,midd invite fewer speakers,0
45,middlebury students can vote in vermont heres how you do it,0
46,college rolls out new inclusivity workshop program for faculty and staff,0
47,unsure of what to expect first years grapple with a college experience marred by the pandemic,0
48,seven middlebury hotspots welcome restaurant week,0
49,softball gets into nescac win column enters crucial series with williams,0
50,map project marks locations of 108 campus assaults,0
51,room and board costs to remain unchanged despite fewer on campus weeks remote j term,0
52,dear college reject this tale of two world views,0
53,1700 pounds of dining dishes go unreturned,0
54,the librarian is in 44,0
55,letter response to response to response to setting the record straighte28086,0
56,unable to go down ski slope feb grads go down on each other instead,1
57,coronavirus news in brief first employee case of covid 19 wage continuity update and summer planning,0
58,track and field records podium finishes ahead of ncaas,0
59,46203,0
60,group of biddies discuss how other friend is a total biddy,1
61,a response to professor marissel hernandez romeros email,0
62,sga update we want your feedback,0
63,an invitation to inquiry,0
64,let there be dance senior dance theses dazzle,0
65,most students chose to remain in chile despite continued civil unrest,0
66,roaring twenties party ends early after dj earworm becomes transfixed by the piercing gaze of dr tj eckleburg,1
67,president patton environmental stewardship e289a0 fossil fuel ownership,0
68,letter to the editor what are the liberal arts,0
69,automatically suspect being black in america,0
70,amending the constitution vermont senators consider green amendment,0
71,the student journalists dilemma,0
72,beyond the vagina monologues speaks to contemporary diverse feminism,0
73,the librarian is in 36,0
74,senior committee looks to on campus commencement and senior week celebration,0
75,vermont tackles shortage of addiction treatment specialists,0
76,marxist club to protest ty dolla ign concert,1
77,the pragmatic left dos and donts for winning elections,0
78,sga passes divestment club sports bills,0
79,sga to fund financial aid for lessons at snow bowl,0
80,field hockey looks to bounce back,0
81,womens hockey splits polar bear weekend,0
82,new plan alters employee health care coverage,0
83,a club sports endowment,0
84,trustees update draft,0
85,middlebury is failing its students with disabilities and injuries,0
86,wygmans re elected states attorney after two day recount,0
87,lets take grades off their pedestal,0
88,faculty vote to divest,0
89,college cancels jesus resurrection due to safety concerns,1
90,carbon neutrality reached,0
91,reflections from a long awaited stay at the bread loaf writers conference,0
92,adaptive bike manufacturer teams with middlebury consulting group,0
93,polish alumnus legutko a ruthless politician that contributed to polands downfall 2,0
94,ners vermont reading showcases up and coming fiction writers,0
95,the librarian is in 29,0
96,how did middlebury complete 10000 covid 19 tests this semester,0
97,ask tre 2,0
98,confirmed enemy of the press plagiarizes campus last bastion of free speech,1
99,college approves cpt grants international students option to work in u s,0
100,addison county economy projected to recover in 2021 but bounceback is uphill battle,0
101,middlebury state reps talk guns,0
102,mens tennis falls to no 4 amherst,0
103,two students test positive for covid 19 17 quarantined,0
104,our community in context,0
105,reluctant journeys international students traverse a world of obstacles as u s limits entries,0
106,las nietas de nono discusses equity post hurricane,0
107,thank you,0
108,softball looks to put amherst sweep behind them host hamilton for a momentum turning series,0
109,siefers scoop episode 10 delanie goniwiecha 23 womens hockey,0
110,winter sports are here,0
111,womens tennis knocks of no 8 amherst eyes potential williams rematch,0
112,college revises events policies citing threats on campus and nationwide,0
113,who runs the world womens cross country,0
114,students organize summit to empower kenyan youth with albinism,0
115,wrmc spotlight prasanna vankina,0
116,where did the small school go,0
117,siefers scoop episode 7 middlebury student athletes committed to political activism,0
118,the weather app was right field hockey heating up,0
119,field hockey flies to final four,0
120,vso brings excitement,0
121,response to germanys racist wake up call,0
122,first years and veterans lead the way to womens lax victory,0
123,vermont leads nation in voter registration rate topping 90,0
124,ipe annual symposium to focus on drug trade and its challenges,0
125,foreign correspondents returning to childhood in paris,0
126,wheeli streamlines transportation at college,0
127,professors debut film screened worldwide,0
128,teachers ignite strike in burlington,0
129,arts department emailer really starting to understand how to interest students,1
130,1970s student strike,0
131,on respect and dignity,0
132,47036,0
133,letter from a birmingham jail,0
134,football shut down by amherst,0
135,malt trip brings students to southern border to assist asylum seekers,0
136,colleges hosts annual c3 conference on diversity in higher education,0
137,recipes from home sourdough,0
138,friend who called us capitalist war machine tears up at fireworks display,1
139,letter to president patton,0
140,over half of fall courses to be offered completely remotely campus analysis finds,0
141,iso fashion gala features eclectic styles,0
142,student stress busts into tissue,1
143,reel critic bojack horseman season vi,0
144,big data big implications 2020 clifford symposium tackles data across disciplines,0
145,spring awakening sheds light on dark times for children,0
146,vermont house says no to coyote hunting tournaments,0
147,in the cards minhaj rahman,0
148,cleans and cleaning athletic facilities return in phase two,0
149,throwback thursday this day in 2016 sydors defense lifts middlebury,0
150,debate society wins big in panama,0
151,keynote speaker unpacks mindfulness,0
152,a call to mothers tell your daughters its okay to masturbate,0
153,aei invites you to argue,0
154,chemistry test question invokes nazi gas chambers controversy ensues after satirical newspaper makes it public,0
155,sexual respect and relationship committee develops interactive consent training workshops,0
156,alumni reflect on post grad life in vermont,0
157,ski patrol the unsung heroes of the snow bowl highly trained and super chill student squad rocks the slopes,0
158,wrmc spotlight its complicated,0
159,students express interest in state green up day,0
160,crunchy communist classmate zooms into sociology class from what is clearly a mid century estate,1
161,recommendations from a winter interlude,0
162,womens basketball dominates as starters double up,0
163,rough cut latest to close doors,0
164,senior gift to raise money for staff emergency fund,0
165,robinson elected sga president,0
166,the librarian is in exit west by mohsin hamid,0
167,patton interview delayed due to disputed terms,0
168,notes from a day at the vermont cheesemakers festival,0
169,on the staff appreciation day spread,0
170,mens soccer makes a stand in sawards last game,0
171,mahaney center celebrates 25th season,0
172,mens lacrosse committed to overcoming playoff heartbreak,0
173,womens tennis boehm confident after 4 1 spring trip,0
174,i didnt need to engage with legutko to know homophobia exists did you,0
175,vermonts minimum wage to increase,0
176,softball starts strong,0
177,jay parinis borges and me beyond just a memoir,0
178,i cover the waterfront on joan didion,0
179,1 in 8700 cheryl mitchell,0
